"Freq [thz]","dB(S(1,1)) []"
1,-12.4831716463305
1.02,-13.9535309028373
1.04,-11.995722576579
1.06,-9.36425102269788
1.08,-7.34994343439825
1.1,-5.92286587441753
1.12,-4.9144330289815
1.14,-4.19518202401033
1.16,-3.677902945721
1.18,-3.30441959536408
1.2,-3.03570673984287
1.22,-2.8463795800115
1.24,-2.71922375288091
1.26,-2.6425937948928
1.28,-2.60890842750897
1.3,-2.61363400938273
1.32,-2.65461181910811
1.34,-2.73146760255463
1.36,-2.84606554635551
1.38,-3.00286420540699
1.4,-3.20829855436629
1.42,-3.47180895461422
1.44,-3.80661246889329
1.46,-4.23028461462671
1.48,-4.76453386510161
1.5,-5.43176094617461
1.52,-6.24231066834463
1.54,-7.16021181811416
1.56,-8.03998031414227
1.58,-8.60122569647182
1.6,-8.62671406485566
1.62,-8.25129813766636
1.64,-7.82479114162367
1.66,-7.60356544716568
1.68,-7.69824705622261
1.7,-8.14755491762059
1.72,-8.97082411964105
1.74,-10.1851191016262
1.76,-11.7927604289551
1.78,-13.6318604360894
1.8,-14.6889259993786
1.82,-14.1271501646946
1.84,-17.1337803181727
1.86,-18.2156093866693
1.88,-14.381485851926
1.9,-11.3960700787977
1.92,-9.30123905032143
1.94,-7.7790898857812
1.96,-6.64813494054658
1.98,-5.80227516207913
2,-5.17465944495867
2.02,-4.72145140721035
2.04,-4.41427312651057
2.06,-4.23657744871285
2.08,-4.1819535775835
2.1,-4.25364467521194
2.12,-4.46658977045281
2.14,-4.85144605141695
2.16,-5.45950103529995
2.18,-6.37253345695537
2.2,-7.72194248046884
2.22,-9.73035237820675
2.24,-12.8290740713911
2.26,-18.1456881959252
2.28,-31.8342117723928
2.3,-22.6763283559127
2.32,-16.7212433695222
2.34,-14.0434717140848
2.36,-12.6888795821659
2.38,-12.0976706643435
2.4,-12.0677525291869
2.42,-12.528278213599
2.44,-13.3914628163663
2.46,-14.3332217411781
2.48,-14.5987482993893
2.5,-13.6080337523523
2.52,-11.866422436265
2.54,-10.107261518788
2.56,-8.6253154745914
2.58,-7.46094343918676
2.6,-6.56982599257675
2.62,-5.87979072647346
2.64,-5.32252003524068
2.66,-4.8513676728588
2.68,-4.45052625322217
2.7,-4.13205397215571
2.72,-3.91796779051841
2.74,-3.81842219223939
2.76,-3.81934337316086
2.78,-3.88055830194828
2.8,-3.95841881503918
2.82,-4.08068633837659
2.84,-4.3657780037906
2.86,-4.95492409899973
2.88,-6.08659781735535
2.9,-8.25891535732206
2.92,-11.8524899000216
2.94,-14.6623163643591
2.96,-14.8183042180908
2.98,-15.2074946691981
3,-16.8093762566339
3.02,-19.5985804892997
3.04,-21.7446935382948
3.06,-19.2664673582662
3.08,-15.6812887630879
3.1,-13.0976753176689
3.12,-11.4576690646606
3.14,-10.5452013824051
3.16,-10.2026581133861
3.18,-10.3111918204375
3.2,-10.6095777712034
3.22,-10.6941177734211
3.24,-10.628162852282
3.26,-10.6377675671682
3.28,-10.7659258768338
3.3,-10.9870124638345
3.32,-11.2480940595614
3.34,-11.450309739967
3.36,-11.4637799567454
3.38,-11.2769070853165
3.4,-11.1315190170521
3.42,-11.2501214996429
3.44,-11.6063853693081
3.46,-12.0131119162834
3.48,-12.1939946535789
3.5,-11.8903241045886
3.52,-11.1095212850329
3.54,-10.2391387882199
3.56,-9.71624486678554
