"Freq [thz]","VSWR(1) [] - W1='4um'","VSWR(1) [] - W1='20um'","VSWR(1) [] - W1='30um'","VSWR(1) [] - W1='40um'","VSWR(1) [] - W1='50um'","VSWR(1) [] - W1='60um'"
1,15.8990310503171,22.3226533898739,22.5736783375983,21.8702603868014,23.7186992546819,23.7321033887212
1.02,15.2169070235507,21.53520224001,21.7796273393311,21.0476025305523,22.9789550393437,23.0423993189636
1.04,14.5227882626076,20.716638801996,20.9560827481321,20.1965462986826,22.1877968903364,22.2989695917663
1.06,13.8175488120695,19.8711974723523,20.1081160538005,19.3206185884707,21.3517465118622,21.5082903880392
1.08,13.1006770731892,19.0003464329229,19.2384643874054,18.4217578317725,20.474405802829,20.6740175723429
1.1,12.3702303728246,18.1038710956243,18.3487652887834,17.5009912274907,19.5577087046899,19.7979471441553
1.12,11.6217481918816,17.1803100419569,17.4402545121406,16.5590957607343,18.6024005811811,18.8805007764543
1.14,10.8448522509378,16.2269218156749,16.5141642380826,15.5968003086522,17.608358706022,17.9209178666253
1.16,10.0130139043713,15.2391929957697,15.5719530139169,14.6150761668027,16.5746445060329,16.9170265457256
1.18,9.05013192814091,14.2097475648758,14.6154413896941,13.6152031037543,15.4995179731157,15.8653616586997
1.2,7.7531562775697,13.1263230001776,13.6468959325676,12.5988876233045,14.3801435316589,14.7598763143151
1.22,6.54491613094309,11.9681924904621,12.6690871944054,11.5683875970472,13.2125082657349,13.5926123250791
1.24,6.85282784593549,10.7005850129147,11.6853380251399,10.5266301852875,11.9912142954012,12.3511976596589
1.26,6.68291514864575,9.26959069318644,10.6995742134314,9.47757035186768,10.7102716025901,11.0222373759044
1.28,6.17920807367884,7.620750033046,9.71638825302627,8.42630555013467,9.36608855110588,9.59640600625202
1.3,5.59885996592087,5.85681034363375,8.74112858595447,7.38003915076008,7.96768032438424,8.09532117721681
1.32,5.01338124735332,4.67824224057915,7.78003101544591,6.34904834941746,6.56340611225196,6.63568779454088
1.34,4.44697505387972,4.87244296371253,6.84041647300848,5.34842428342326,5.29538872887382,5.5093059889122
1.36,3.9107566985722,5.49647636405879,5.93098986470932,4.40183380037393,4.44058835708058,5.04549182212424
1.38,3.41125301856743,5.64337674120234,5.06228635649954,3.54431700528576,4.2410615765155,5.13521363416106
1.4,2.95292958272065,5.37307631652431,4.24731841252035,2.82924936551139,4.50013880981459,5.27594784027015
1.42,2.53887287605088,4.90024604761412,3.50247321720253,2.3318072511021,4.71492954699618,5.17420000887023
1.44,2.17131647895765,4.35353384354991,2.84872797181909,2.13252975888757,4.63283687420365,4.83530420811253
1.46,1.85178208845687,3.79795301928398,2.31347278222342,2.22264031343491,4.29449679006831,4.35541064112199
1.48,1.58268562908784,3.26668558309009,1.93341957825812,2.43396262668771,3.81797861304004,3.81801668043858
1.5,1.37200517221272,2.77743988612174,1.7506184968334,2.57233434124948,3.2972410843162,3.27834104960792
1.52,1.25127973791981,2.33988904694257,1.76233032533332,2.5483716175728,2.79073604224986,2.77042758169879
1.54,1.28115405011598,1.95917583640106,1.86792278627789,2.38334642479368,2.33238011110026,2.31494494115707
1.56,1.43470658063561,1.63869211809326,1.9485810365726,2.148220019772,1.94234755073018,1.92474871037917
1.58,1.65054435193712,1.3851486919391,1.95113352244116,1.9148033018922,1.63702426313353,1.61057523926075
1.6,1.90585521350994,1.23117119194141,1.89267497992032,1.74200589745379,1.44412790675048,1.39333084429059
1.62,2.19167442571003,1.26245162016274,1.82622809219367,1.67669368998322,1.41225715468722,1.32663853846733
1.64,2.5018453380175,1.43958009507209,1.80517766833882,1.73963676337783,1.54100689325193,1.43477102186283
1.66,2.83043764750557,1.67578726268124,1.85937312060705,1.91010147164819,1.76156614551468,1.64250517767857
