Freq_Thz,S11-db,VSWR,W1
1,-1.094075574,15.89903105,4
1.02,-1.143258071,15.21690702,4
1.04,-1.198069712,14.52278826,4
1.06,-1.259427731,13.81754881,4
1.08,-1.32860591,13.10067707,4
1.1,-1.407392526,12.37023037,4
1.12,-1.498470203,11.62174819,4
1.14,-1.606408902,10.84485225,4
1.16,-1.74072293,10.0130139,4
1.18,-1.9273753,9.050131928,4
1.2,-2.253157647,7.753156278,4
1.22,-2.675188698,6.544916131,4
1.24,-2.553206533,6.852827846,4
1.26,-2.619097303,6.682915149,4
1.28,-2.836263631,6.179208074,4
1.3,-3.136374534,5.598859966,4
1.32,-3.512166437,5.013381247,4
1.34,-3.974344918,4.446975054,4
1.36,-4.542850243,3.910756699,4
1.38,-5.246383684,3.411253019,4
1.4,-6.124649876,2.952929583,4
1.42,-7.233244344,2.538872876,4
1.44,-8.651306619,2.171316479,4
1.46,-10.49575667,1.851782088,4
1.48,-12.93274478,1.582685629,4
1.5,-16.09133307,1.372005172,4
1.52,-19.04543984,1.251279738,4
1.54,-18.18420542,1.28115405,4
1.56,-14.9650083,1.434706581,4
1.58,-12.2011633,1.650544352,4
1.6,-10.12430367,1.905855214,4
1.62,-8.557219291,2.191674426,4
1.64,-7.353435008,2.501845338,4
1.66,-6.413869153,2.830437648,4
1.68,-5.671307798,3.171156142,4
1.7,-5.078634552,3.517460124,4
1.72,-4.60199179,3.862732846,4
1.74,-4.216322334,4.200713719,4
1.76,-3.903019178,4.525497877,4
1.78,-3.648227551,4.831501865,4
1.8,-3.441583316,5.11347826,4
1.82,-3.275140759,5.366827785,4
1.84,-3.142814377,5.587633331,4
1.86,-3.039876272,5.772844716,4
1.88,-2.962770101,5.920097471,4
1.9,-2.908854545,6.027746009,4
1.92,-2.876261818,6.094796934,4
1.94,-2.863813445,6.12081266,4
1.96,-2.87090643,6.105961201,4
1.98,-2.897738109,6.050444084,4
2,-2.945061055,5.955016774,4
2.02,-3.014222737,5.820991717,4
2.04,-3.1072958,5.650138933,4
2.06,-3.22724845,5.444628444,4
2.08,-3.378084104,5.207151169,4
2.1,-3.565274681,4.940713841,4
2.12,-3.795683689,4.649321041,4
2.14,-4.078367572,4.337463803,4
2.16,-4.424846554,4.010501862,4
2.18,-4.849568092,3.674703783,4
2.2,-5.370329385,3.337166182,4
2.22,-6.008169363,3.005736794,4
2.24,-6.786176579,2.688786086,4
2.26,-7.725693841,2.394895747,4
2.28,-8.836772506,2.132558177,4
2.3,-10.09698626,1.910006962,4
2.32,-11.41150542,1.735219259,4
2.34,-12.56721252,1.615437064,4
2.36,-13.27001604,1.554342747,4
2.38,-13.36581902,1.54660025,4
2.4,-13.00732075,1.57626885,4
2.42,-12.48164748,1.623428888,4
2.44,-11.99578776,1.671334332,4
2.46,-11.64340756,1.708983176,4
2.48,-11.45007967,1.730770987,4
2.5,-11.41070087,1.735312402,4
2.52,-11.51068221,1.723851131,4
2.54,-11.73899724,1.698513346,4
2.56,-12.09910443,1.660773637,4
2.58,-12.61973995,1.610593643,4
2.6,-13.36455534,1.546701519,4
2.62,-14.43730624,1.468311276,4
2.64,-15.93016544,1.380296977,4
2.66,-17.5024317,1.307643,4
2.68,-17.40375815,1.31170561,4
2.7,-15.42533988,1.407693973,4
2.72,-13.94900688,1.502192719,4
2.74,-13.44247593,1.540499532,4
2.76,-13.36332012,1.546800528,4
2.78,-13.21350024,1.558972771,4
2.8,-12.74800228,1.598962978,4
2.82,-11.97284802,1.67370773,4
2.84,-11.02739742,1.781450477,4
2.86,-10.05106564,1.917042535,4
2.88,-9.131071267,2.074555205,4
2.9,-8.308079985,2.247988034,4
2.92,-7.594734046,2.431250904,4
2.94,-6.989573424,2.618076659,4
2.96,-6.484944301,2.802079754,4
2.98,-6.071082271,2.976953004,4
3,-5.738036896,3.136787838,4
3.02,-5.476586908,3.276404466,4
3.04,-5.278513221,3.391703639,4
3.06,-5.136666777,3.47991039,4
3.08,-5.044843556,3.539733945,4
3.1,-4.997652072,3.57135914,4
3.12,-4.990309561,3.576334958,4
3.14,-5.018480693,3.557325563,4
3.16,-5.078135481,3.517786876,4
3.18,-5.165458433,3.461602865,4
3.2,-5.276793002,3.3927441,4
3.22,-5.408811393,3.314876202,4
3.24,-5.558572682,3.231161075,4
3.26,-5.723779729,3.144061163,4
3.28,-5.903024291,3.055266903,4
3.3,-6.095849203,2.965791182,4
3.32,-6.302599525,2.876175462,4
3.34,-6.52394621,2.786793099,4
3.36,-6.759923183,2.698239035,4
3.38,-7.008657576,2.611663708,4
3.4,-7.265216847,2.528896452,4
3.42,-7.521277006,2.4522327,4
