"Freq [thz]","dB(S(1,1)) [] - W1='4um'","dB(S(1,1)) [] - W1='20um'","dB(S(1,1)) [] - W1='30um'","dB(S(1,1)) [] - W1='40um'","dB(S(1,1)) [] - W1='50um'","dB(S(1,1)) [] - W1='60um'"
1,-1.09407557367624,-0.778734215041584,-0.77006308317129,-0.794864833856579,-0.732843022521992,-0.732428614466727
1.02,-1.14325807134281,-0.807249512367053,-0.798177206657422,-0.82597855280767,-0.756464255411916,-0.754378805376447
1.04,-1.1980697116572,-0.839194552197188,-0.829591256091655,-0.860840067906974,-0.783473730376322,-0.779562421086543
1.06,-1.25942773127817,-0.874958159127786,-0.864632059385269,-0.899935819840191,-0.814195576220086,-0.808261025862992
1.08,-1.32860590970253,-0.915133094418399,-0.903785748070781,-0.943931240637585,-0.849138804976315,-0.840927323691712
1.1,-1.40739252605117,-0.960539284886093,-0.947693698337199,-0.993699276225364,-0.889007090661968,-0.878200920676237
1.12,-1.49847020300638,-1.01228892235549,-0.997167486034434,-1.05035587164481,-0.934747196051606,-0.920952838715318
1.14,-1.60640890190453,-1.0719112973763,-1.05322066489744,-1.11533403850262,-0.987627061231474,-0.970365661437419
1.16,-1.74072292970679,-1.14158133645058,-1.11711862115926,-1.19048063411228,-1.04936812842877,-1.0280799312516
1.18,-1.92737529993715,-1.22454975455115,-1.19045079216169,-1.27821215998192,-1.12235384031486,-1.09640357963024
1.2,-2.25315764685761,-1.32600000366886,-1.27523301949316,-1.38174088336919,-1.20999232422752,-1.17876549323493
1.22,-2.67518869751582,-1.45488769153674,-1.37405257693258,-1.50541665514339,-1.31731719210319,-1.28034423024104
1.24,-2.55320653343709,-1.62819300730628,-1.49027557843979,-1.65526106094198,-1.45208142638238,-1.40957078732792
1.26,-2.61909730269575,-1.8813824023416,-1.62834772685828,-1.83978366197781,-1.62671180874524,-1.5804122797651
1.28,-2.83626363056858,-2.2927572224223,-1.79423745818002,-2.07137398287435,-1.86184914716073,-1.81683342418453
1.3,-3.13637453391891,-2.99541984892454,-1.99609989466284,-2.36845407729349,-2.19183802432342,-2.15691961188112
1.32,-3.51216643656507,-3.77147177249701,-2.24528738978502,-2.75909162329471,-2.66753313742299,-2.63802473419536
1.34,-3.97434491812305,-3.61667555025236,-2.55790630483896,-3.28668063680169,-3.32040157918875,-3.18849961966393
1.36,-4.54285024281248,-3.1961109568292,-2.95722307801686,-4.01656252110578,-3.98026304863451,-3.48920620865048
1.38,-5.24638368439057,-3.11109920034067,-3.4773182506225,-5.03794797878838,-4.17463959965931,-3.42663477635187
1.4,-6.12464987618865,-3.27124125270582,-4.16825086801854,-6.41681472003219,-3.92576764079021,-3.33293853230693
1.42,-7.23324434433306,-3.5955623443381,-5.10163399976737,-7.96476987839,-3.74120597954122,-3.4001487874862
1.44,-8.65130661893242,-4.06275717901392,-6.36888407912676,-8.83691165802471,-3.80962554451359,-3.64527369607632
1.46,-10.4957566721492,-4.68431146366473,-8.03724659520546,-8.41826248272711,-4.12071201202696,-4.0609419940542
1.48,-12.9327447774246,-5.49398716033432,-9.94594560718972,-7.58515463510776,-4.65854350232192,-4.65849479544406
1.5,-16.0913330700003,-6.54805280275646,-11.2802219395568,-7.12814397208434,-5.43966289038404,-5.47313333029082
1.52,-19.0454398435913,-7.93326405171339,-11.1826482990509,-7.2030778980724,-6.5138393955282,-6.56624873696805
1.54,-18.1842054169829,-9.78545085122107,-10.3817272829052,-7.76831031951503,-7.96252785138598,-8.03137501758563
1.56,-14.9650082988384,-12.3219432623114,-9.85077259669874,-8.7607992314084,-9.88965728535522,-10.0012964762722
1.58,-12.2011633016657,-15.8377406246566,-9.83494741657893,-10.0656305868336,-12.3391630314258,-12.6199405237889
1.6,-10.1243036651111,-19.6919836314303,-10.2121255348991,-11.3532205493357,-14.8123173376095,-15.6848946706133
1.62,-8.55721929133546,-18.7106008602472,-10.682145035046,-11.9441309663976,-15.345108033128,-17.0532298758343
1.64,-7.35343500847751,-14.8855412522214,-10.8413730336596,-11.3734899186256,-13.4360608898481,-14.9639506845107
1.66,-6.41386915329116,-11.9528316037967,-10.4417812911653,-10.0963663186773,-11.1889564040503,-12.2827843023123
1.68,-5.67130779828145,-9.90486837257362,-9.62473213451118,-8.7680065635185,-9.43299083363127,-10.2304472435738
1.7,-5.07863455153553,-8.46296037681815,-8.7146238249177,-7.68521460001475,-8.19702258483464,-8.7963066596779
